,ID,name,categories,lat,lng,cuisines,Rating,Cost for Two
61,,Pandara Rd,Indian Restaurant,28.607999832217057,77.22989797242407,"Chinese, Thai, Japanese",4.0,1200.0
62,,Larry's China,Chinese Restaurant,28.601760878492893,77.22919615380913,Chinese,3.9,3200.0
63,,Pindi Restaurant,Restaurant,28.608018528891723,77.2298963114413,"North Indian, Mughlai, Kebab",4.4,2500.0
64,,The House of Ming,Chinese Restaurant,28.604503816964385,77.22359231888505,Chinese,4.1,5500.0
65,,Cafe Coffee Day,Café,28.58491064499612,77.22659453667941,"North Indian, Chinese, Fast Food",0,200.0
66,,Jade,Chinese Restaurant,28.600383802307814,77.21678961059109,Chinese,3.9,5000.0
67,,Pickwicks,Breakfast Spot,28.60056299912618,77.21667975591778,"European, Continental",3.9,3600.0
68,,Akash Air Force Officers Mess,Cafeteria,28.607946030057683,77.23423699212007,Cafe,0,500.0
69,,Kamal Restaurant,Indian Restaurant,28.60235,77.240698,South Indian,0,150.0
70,,Bombay Bhel Puri counter - Sunder Nagar,Snack Place,28.602452,77.240743,North Indian,3.9,550.0
71,,Sunder Nagar,Indian Restaurant,28.6022821763985,77.24079874063452,North Indian,3.9,550.0
72,,Delhi high court canteen,Cafeteria,28.60885933520754,77.23691449904433,Cafe,0,500.0
73,,Nathu's,Indian Restaurant,28.60247264877011,77.24077067576414,North Indian,3.1,250.0
74,,Spaghetti Kitchen,Italian Restaurant,28.602428406122005,77.24107377601055,"Continental, European",3.9,2200.0
75,,number 8 sundernagar market,Café,28.602582874738246,77.24125339060359,"North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts",3.8,600.0
76,,Aap Ki Khatir,Indian Restaurant,28.592860832086362,77.24133758484983,Mughlai,0,300.0
77,,Slice of Italy,Pizza Place,28.59301451828417,77.24201917648315,"Bakery, Desserts, Beverages",3.8,200.0
78,,Tahir Kabab Corner,Indian Restaurant,28.59172882171536,77.24453692163345,"North Indian, Mughlai, Kebab, Rolls",3.4,700.0
