,ID,name,categories,lat,lng,cuisines,Rating,Cost for Two
69,,Fa Yian,Chinese Restaurant,28.632793282499158,77.21718821209873,"Chinese, Momos",4.0,1200.0
70,,Sam's Cafe,Café,28.64110245283158,77.21266027981824,"Italian, North Indian, Chinese",3.3,750.0
71,,Metropolis Hotel / Tourist Home,Breakfast Spot,28.64070258750328,77.21065447108282,North Indian,2.8,1500.0
72,,"Sorrento, Shangri La",Italian Restaurant,28.62080091050139,77.2181636095047,"Continental, North Indian, Chinese, Bar Food",4.0,5000.0
73,,Kaleva,Snack Place,28.63329860331272,77.20848838202599,"North Indian, South Indian, Chinese, Fast Food, Street Food, Mithai",3.9,350.0
74,,MIST,Italian Restaurant,28.628720062553807,77.21629222049741,"Continental, Italian, Mediterranean",3.9,4500.0
75,,Domino's Pizza,Pizza Place,28.646,77.211,"Pizza, Fast Food",3.9,400.0
76,,Satyam Rooftop Restaurant,Restaurant,28.641198,77.21369,"Chinese, North Indian, Seafood",3.5,600.0
77,,Brown Bread Bakery,Bakery,28.640883493288246,77.21228700446335,"Fast Food, Continental, Italian, Bakery",3.6,600.0
78,,Café Festa,Indian Restaurant,28.64101653509604,77.21030160576831,"Cafe, North Indian",3.5,600.0
79,,China Garden,Chinese Restaurant,28.634342320913373,77.2173903193919,Chinese,3.9,1900.0
80,,Café Nirvana,Café,28.641333522569326,77.21468332222602,"Desserts, Beverages, Cafe, Fast Food, Sandwich",2.4,600.0
81,,Bikanervala,Indian Restaurant,28.6266175130141,77.20944050542066,"Mithai, Street Food, South Indian, North Indian, Chinese",3.8,600.0
82,,Swagath,Indian Restaurant,28.62149870440041,77.21858049977537,North Indian,3.6,200.0
83,,Shang Palace,Chinese Restaurant,28.620975140956652,77.21793293952942,Chinese,4.1,3500.0
84,,ఆంధ్ర భవన్ (Andhra Bhavan),Indian Restaurant,28.619656633029656,77.21996068954468,"South Indian, Andhra",4.1,300.0
85,,Everest Rooftop,Café,28.641147242996357,77.2134435505796,"Chinese, North Indian, Seafood",3.5,600.0
86,,Metropolis Restaurant,Indian Restaurant,28.640752509715924,77.21054093526213,North Indian,0.0,500.0
87,,The Shim Tur,Korean Restaurant,28.642412094375384,77.21330319364421,"Korean, Salad",4.0,600.0
88,,CSOI club,Indian Restaurant,28.619021856520057,77.22701457248938,Continental,4.0,4500.0
89,,Maharashtra Bhawan Canteen,Indian Restaurant,28.61812166408398,77.22878075218492,"North Indian, Maharashtrian",4.0,300.0
90,,Karen Cafe,Restaurant,28.646062445619535,77.2146056996046,Cafe,0.0,550.0
